Année,Semestre,Région mondiale,Pays,Division administrative,Maladie,Génotype/sérotype/sous-type,Catégorie animale,Event_id,Espèce,Outbreak_id,Nouveaux foyers,Sensibles,Unités de mesure,Cas,Mis à mort et éliminés,Abattus/mis a mort à des fins commerciales,Morts,Vaccinés
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Rage (Inf. par le virus de la)","",Domestique,-,"Chiens",-,-,37,Animal,6,1,0,5,3274
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Rage (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,35,Animal,7,1,0,6,14355
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Rage (Inf. par le virus de la)","",Domestique,-,"Equidés",-,-,-,Animal,1,0,0,1,125
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Rage (Inf. par le virus de la)","",Domestique,-,"Suidés",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Rage (Inf. par le virus de la)","",Tous,-,"",-,14,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Trichomonose","",Domestique,-,"Bovins",-,-,-,Animal,14,0,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Trichomonose","",Tous,-,"",-,7,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Trypanosoma equiperdum (Inf. à) (Dourine)","",Domestique,-,"Equidés",-,-,-,Animal,1,0,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Trypanosoma equiperdum (Inf. à) (Dourine)","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Babésiose bovine","",Domestique,-,"Bovins",-,-,-,Animal,6,0,0,6,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Babésiose bovine","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Ovins",-,-,119878,Animal,9271,85,0,4753,200
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,25503,Animal,405,2,0,257,62
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Caprins",-,-,2305,Animal,74,0,0,18,-
